epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.153,1.44166,0.84736,1.05322,0.90318,0.8472,0.9076,0.53575,1.49055,0.81385,1.10704,0.000332498,0.000332498,0.000332498
2,364.056,1.44359,0.87851,1.05993,0.90135,0.81459,0.87592,0.48495,1.60531,0.91694,1.14627,0.000635869,0.000635869,0.000635869
3,536.879,1.4707,0.90281,1.06455,0.89312,0.80023,0.88084,0.48058,1.60277,0.92763,1.14511,0.00090924,0.00090924,0.00090924
4,704.574,1.50377,0.9338,1.07574,0.87945,0.81049,0.88309,0.49484,1.59102,0.91467,1.14864,0.000865,0.000865,0.000865
5,867.036,1.53772,0.96451,1.08971,0.89082,0.81574,0.88348,0.48472,1.5948,0.90237,1.13717,0.00082,0.00082,0.00082
6,1028.7,1.52221,0.94553,1.08266,0.89651,0.81714,0.89032,0.51681,1.55289,0.88883,1.14039,0.000775,0.000775,0.000775
7,1186.37,1.51164,0.93827,1.08201,0.88686,0.80956,0.8788,0.47253,1.68687,0.93776,1.18485,0.00073,0.00073,0.00073
8,1345.07,1.48904,0.91975,1.07661,0.8965,0.82169,0.89551,0.50669,1.55431,0.85955,1.1295,0.000685,0.000685,0.000685
9,1504.51,1.46994,0.90067,1.06834,0.90381,0.8296,0.90326,0.52565,1.533,0.84457,1.1238,0.00064,0.00064,0.00064
10,1663.29,1.47519,0.87785,1.0693,0.9148,0.82665,0.90295,0.51077,1.56475,0.8333,1.12875,0.000595,0.000595,0.000595
11,1819.08,1.45917,0.87419,1.06239,0.89364,0.83814,0.89679,0.5323,1.50977,0.83994,1.11167,0.00055,0.00055,0.00055
12,1977.71,1.46363,0.86457,1.05639,0.89538,0.83382,0.90273,0.52319,1.52854,0.83853,1.11543,0.000505,0.000505,0.000505
13,2130.46,1.41832,0.77623,1.08081,0.92189,0.82743,0.90852,0.54004,1.50601,0.80314,1.11554,0.00046,0.00046,0.00046
14,2281.77,1.3826,0.74723,1.06826,0.91358,0.85008,0.91444,0.54829,1.48207,0.79722,1.10141,0.000415,0.000415,0.000415
15,2428.29,1.36943,0.73888,1.06453,0.91591,0.84197,0.91302,0.5483,1.47725,0.7837,1.10275,0.00037,0.00037,0.00037
16,2576.7,1.35204,0.7153,1.05855,0.90955,0.86123,0.91509,0.5549,1.46204,0.75879,1.09179,0.000325,0.000325,0.000325
17,2724.84,1.34742,0.70772,1.05547,0.91542,0.85899,0.91534,0.55752,1.471,0.75822,1.0936,0.00028,0.00028,0.00028
18,2870.13,1.32737,0.69499,1.05106,0.90921,0.86232,0.91739,0.55814,1.46568,0.76457,1.09589,0.000235,0.000235,0.000235
19,3019.56,1.3152,0.68217,1.04306,0.91188,0.86525,0.92153,0.5593,1.45886,0.75033,1.09447,0.00019,0.00019,0.00019
20,3176.6,1.29876,0.66769,1.0379,0.91051,0.87063,0.92102,0.56474,1.44459,0.73978,1.08815,0.000145,0.000145,0.000145
21,3329.43,1.28797,0.65846,1.0309,0.91105,0.87602,0.92436,0.56811,1.4453,0.72954,1.08813,0.0001,0.0001,0.0001
22,3476.83,1.28071,0.65315,1.03202,0.92404,0.86339,0.92307,0.57017,1.43343,0.72789,1.0854,5.5e-05,5.5e-05,5.5e-05
